Time (s);Fp1;Fp2;Sampling Rate
3.1933593750e-01;-5.7593145752e+02;-1.1094562988e+03;
3.2324218750e-01;-6.0118756104e+02;-1.1996435547e+03;
3.2617187500e-01;-5.9242742920e+02;-1.1470789795e+03;
3.2910156250e-01;-5.9457946777e+02;-1.1426048584e+03;
3.3300781250e-01;-5.8558502197e+02;-1.1556430664e+03;
3.3593750000e-01;-5.8930950928e+02;-1.1708081055e+03;
3.3984375000e-01;-5.7895819092e+02;-1.2153295898e+03;
3.4277343750e-01;-6.0118884277e+02;-1.2460186768e+03;
3.4570312500e-01;-6.0418463135e+02;-1.1286477051e+03;
3.4960937500e-01;-5.9681933594e+02;-1.1364263916e+03;
3.5253906250e-01;-6.0963720703e+02;-1.2241652832e+03;
3.5644531250e-01;-6.0962701416e+02;-1.1800469971e+03;
3.5937500000e-01;-5.9909484863e+02;-1.1842188721e+03;
3.6328125000e-01;-5.7665917969e+02;-1.1393319092e+03;
3.6621093750e-01;-6.0900347900e+02;-1.1404138184e+03;
3.6914062500e-01;-5.6134527588e+02;-1.1334388428e+03;
3.7304687500e-01;-5.6270489502e+02;-1.2089733887e+03;
3.7597656250e-01;-5.5612536621e+02;-1.1635001221e+03;
3.7988281250e-01;-5.6156591797e+02;-1.1532631836e+03;
3.8281250000e-01;-5.6018658447e+02;-1.1965264893e+03;
3.8574218750e-01;-5.4844952393e+02;-1.1431224365e+03;
3.8964843750e-01;-5.5732830811e+02;-1.1697960205e+03;
3.9257812500e-01;-5.4621630859e+02;-1.1372490234e+03;
3.9648437500e-01;-5.3904357910e+02;-1.1340006104e+03;
3.9941406250e-01;-5.2548760986e+02;-1.1641053467e+03;
4.0332031250e-01;-5.2444122314e+02;-1.1425557861e+03;
4.0625000000e-01;-5.4610260010e+02;-1.2107069092e+03;
4.0917968750e-01;-5.4474304199e+02;-1.3046314697e+03;
4.1308593750e-01;-5.2731213379e+02;-1.2552531738e+03;
4.1601562500e-01;-5.4645129395e+02;-1.0835439453e+03;
4.1992187500e-01;-5.1262377930e+02;-1.1298149414e+03;
4.2285156250e-01;-5.2976727295e+02;-1.1231834717e+03;
4.2578125000e-01;-5.3289086914e+02;-1.1770319824e+03;
4.2968750000e-01;-5.2213067627e+02;-1.1851562500e+03;
4.3261718750e-01;-5.0711160278e+02;-1.1454499512e+03;
4.3652343750e-01;-5.1207226562e+02;-1.1468027344e+03;
4.3945312500e-01;-5.1699560547e+02;-1.1797602539e+03;
4.4238281250e-01;-5.1985620117e+02;-1.1756727295e+03;
4.4628906250e-01;-5.1130075073e+02;-1.2156777344e+03;
4.4921875000e-01;-5.2948608398e+02;-1.2170131836e+03;
4.5312500000e-01;-5.2002508545e+02;-1.1475075684e+03;
4.5605468750e-01;-5.1098065186e+02;-1.1571173096e+03;
4.5996093750e-01;-5.2127429199e+02;-1.1949309082e+03;
4.6289062500e-01;-5.1628613281e+02;-1.2140332031e+03;
4.6582031250e-01;-5.1345324707e+02;-1.2377911377e+03;
4.6972656250e-01;-5.2155249023e+02;-1.1734920654e+03;
4.7265625000e-01;-5.1853790283e+02;-1.1375714111e+03;
4.7656250000e-01;-5.3387231445e+02;-1.2404248047e+03;
4.7949218750e-01;-5.2515447998e+02;-1.2178282471e+03;
4.8242187500e-01;-5.4332696533e+02;-1.1593894043e+03;
4.8632812500e-01;-5.4606573486e+02;-1.1649135742e+03;
4.8925781250e-01;-5.4378771973e+02;-1.1836770020e+03;
4.9316406250e-01;-5.3462561035e+02;-1.1558449707e+03;
4.9609375000e-01;-5.3313830566e+02;-1.1863234863e+03;
4.9902343750e-01;-5.4230535889e+02;-1.2308051758e+03;
5.0292968750e-01;-5.4473028564e+02;-1.2353489990e+03;
5.0585937500e-01;-5.3765222168e+02;-1.1971887207e+03;
5.0976562500e-01;-5.4199847412e+02;-1.1740911865e+03;
5.1269531250e-01;-5.5073120117e+02;-1.1659731445e+03;
5.1660156250e-01;-5.3510046387e+02;-1.2013085938e+03;
5.1953125000e-01;-5.3612359619e+02;-1.2213190918e+03;
5.2246093750e-01;-5.5104687500e+02;-1.1883483887e+03;
5.2636718750e-01;-5.4250158691e+02;-1.2443492432e+03;
5.2929687500e-01;-5.3542486572e+02;-1.2387640381e+03;
5.3320312500e-01;-5.5174743652e+02;-1.2179769287e+03;
5.3613281250e-01;-5.4865026855e+02;-1.1759897461e+03;
5.3906250000e-01;-5.4666198730e+02;-1.1845333252e+03;
5.4296875000e-01;-5.4521215820e+02;-1.1668221436e+03;
5.4589843750e-01;-5.3680767822e+02;-1.1731800537e+03;
5.4980468750e-01;-5.4127526855e+02;-1.1923896484e+03;
5.5273437500e-01;-5.4441748047e+02;-1.1843995361e+03;
5.5664062500e-01;-5.5176501465e+02;-1.2116430664e+03;
5.5957031250e-01;-5.3506549072e+02;-1.2380148926e+03;
5.6250000000e-01;-5.4631329346e+02;-1.2480858154e+03;
5.6640625000e-01;-5.3833959961e+02;-1.1981610107e+03;
5.6933593750e-01;-5.3235314941e+02;-1.1472117920e+03;
5.7324218750e-01;-5.3371472168e+02;-1.1826721191e+03;
5.7617187500e-01;-5.2648651123e+02;-1.1904967041e+03;
5.7910156250e-01;-5.4120385742e+02;-1.2100461426e+03;
5.8300781250e-01;-5.3821142578e+02;-1.1756893311e+03;
5.8593750000e-01;-5.4779559326e+02;-1.1822253418e+03;
5.8984375000e-01;-5.4149200439e+02;-1.1846807861e+03;
5.9277343750e-01;-5.3760241699e+02;-1.1829603271e+03;
5.9570312500e-01;-5.4316235352e+02;-1.1954388428e+03;
5.9960937500e-01;-5.4511596680e+02;-1.2019255371e+03;
6.0253906250e-01;-5.4364624023e+02;-1.2448339844e+03;
6.0644531250e-01;-5.4630816650e+02;-1.2384138184e+03;
6.0937500000e-01;-5.4299841309e+02;-1.2103593750e+03;
6.1328125000e-01;-5.4826324463e+02;-1.1773413086e+03;
6.1621093750e-01;-5.4252056885e+02;-1.2038410645e+03;
