Time (s);Fp1;Fp2;Sampling Rate
3.1933593750e-01;-2.5388969421e+02;-9.5868292236e+02;
3.2324218750e-01;-2.5897705078e+02;-9.4806207275e+02;
3.2617187500e-01;-2.4260517883e+02;-9.5187957764e+02;
3.2910156250e-01;-2.5070671082e+02;-9.6390997314e+02;
3.3300781250e-01;-2.4682176208e+02;-9.4977630615e+02;
3.3593750000e-01;-2.5131256104e+02;-9.8775793457e+02;
3.3984375000e-01;-2.4035586548e+02;-9.7829278564e+02;
3.4277343750e-01;-2.4695635986e+02;-9.5141174316e+02;
3.4570312500e-01;-2.4756977844e+02;-9.5384155273e+02;
3.4960937500e-01;-2.4802348328e+02;-9.8083325195e+02;
3.5253906250e-01;-2.4799739075e+02;-9.7597607422e+02;
3.5644531250e-01;-2.4440989685e+02;-9.5521759033e+02;
3.5937500000e-01;-2.4817561340e+02;-9.4540527344e+02;
3.6328125000e-01;-2.4362973022e+02;-9.4775378418e+02;
3.6621093750e-01;-2.5099327087e+02;-9.6298345947e+02;
3.6914062500e-01;-2.5400578308e+02;-9.6870989990e+02;
3.7304687500e-01;-2.3805900574e+02;-9.5664379883e+02;
3.7597656250e-01;-2.3655955505e+02;-9.8018426514e+02;
3.7988281250e-01;-2.4047891235e+02;-9.6871655273e+02;
3.8281250000e-01;-2.3837136841e+02;-9.4579595947e+02;
3.8574218750e-01;-2.4108712769e+02;-9.3886627197e+02;
3.8964843750e-01;-2.3685073853e+02;-9.5933380127e+02;
3.9257812500e-01;-2.4018405151e+02;-9.5576623535e+02;
3.9648437500e-01;-2.3927331543e+02;-9.3100921631e+02;
3.9941406250e-01;-2.3584307861e+02;-9.4690606689e+02;
4.0332031250e-01;-2.3805416870e+02;-1.0091097412e+03;
4.0625000000e-01;-2.3492170715e+02;-9.7762567139e+02;
4.0917968750e-01;-2.3790864563e+02;-9.3023394775e+02;
4.1308593750e-01;-2.4755310059e+02;-9.3902911377e+02;
4.1601562500e-01;-2.3354899597e+02;-9.3915625000e+02;
4.1992187500e-01;-2.3251585388e+02;-9.4234808350e+02;
4.2285156250e-01;-2.3434196472e+02;-9.4298706055e+02;
4.2578125000e-01;-2.3600680542e+02;-9.5642095947e+02;
4.2968750000e-01;-2.3058035278e+02;-9.3348297119e+02;
4.3261718750e-01;-2.3344718933e+02;-9.3214337158e+02;
4.3652343750e-01;-2.2878875732e+02;-9.5764825439e+02;
4.3945312500e-01;-2.3795637512e+02;-9.8160522461e+02;
4.4238281250e-01;-2.3599266052e+02;-9.3529119873e+02;
4.4628906250e-01;-2.2683094788e+02;-9.6321600342e+02;
4.4921875000e-01;-2.3074507141e+02;-9.6654907227e+02;
4.5312500000e-01;-2.2669978333e+02;-9.7606237793e+02;
4.5605468750e-01;-2.4020368958e+02;-9.3741851807e+02;
4.5996093750e-01;-2.2503347778e+02;-9.3185662842e+02;
4.6289062500e-01;-2.2579203796e+02;-9.1242120361e+02;
4.6582031250e-01;-2.2666950989e+02;-9.2262762451e+02;
4.6972656250e-01;-2.2954383850e+02;-9.3065411377e+02;
4.7265625000e-01;-2.3016966248e+02;-9.4246337891e+02;
4.7656250000e-01;-2.2458798218e+02;-9.4258062744e+02;
4.7949218750e-01;-2.3240470886e+02;-9.4829876709e+02;
4.8242187500e-01;-2.2862792969e+02;-9.3455816650e+02;
4.8632812500e-01;-2.3102453613e+02;-9.7706707764e+02;
4.8925781250e-01;-2.2607339478e+02;-9.6397137451e+02;
4.9316406250e-01;-2.3614320374e+02;-9.4962591553e+02;
4.9609375000e-01;-2.3405186462e+02;-9.3546569824e+02;
4.9902343750e-01;-2.4347534180e+02;-9.6749914551e+02;
5.0292968750e-01;-2.4319239807e+02;-9.7237860107e+02;
5.0585937500e-01;-2.3941941833e+02;-9.6737023926e+02;
5.0976562500e-01;-2.3715901184e+02;-9.4759918213e+02;
5.1269531250e-01;-2.3236357117e+02;-9.2982995605e+02;
5.1660156250e-01;-2.4288824463e+02;-9.5846948242e+02;
5.1953125000e-01;-2.4077433777e+02;-9.5815625000e+02;
5.2246093750e-01;-2.4512594604e+02;-9.5829583740e+02;
5.2636718750e-01;-2.4512033081e+02;-9.6251153564e+02;
5.2929687500e-01;-2.4571989441e+02;-9.5224786377e+02;
5.3320312500e-01;-2.4182319641e+02;-9.4412896729e+02;
5.3613281250e-01;-2.4228742981e+02;-9.9195538330e+02;
5.3906250000e-01;-2.4484918213e+02;-9.7492736816e+02;
5.4296875000e-01;-2.4933952332e+02;-9.5618676758e+02;
5.4589843750e-01;-2.4395899963e+02;-9.5323248291e+02;
5.4980468750e-01;-2.4829663086e+02;-9.5243646240e+02;
5.5273437500e-01;-2.4077906799e+02;-9.8351739502e+02;
5.5664062500e-01;-2.4875416565e+02;-9.8277612305e+02;
5.5957031250e-01;-2.4437693787e+02;-9.4609423828e+02;
5.6250000000e-01;-2.3836212158e+02;-9.5151904297e+02;
5.6640625000e-01;-2.4422344971e+02;-9.3506365967e+02;
5.6933593750e-01;-2.3852325439e+02;-9.4203564453e+02;
5.7324218750e-01;-2.3402751160e+02;-9.4085809326e+02;
5.7617187500e-01;-2.3191485596e+02;-9.4447125244e+02;
5.7910156250e-01;-2.4093809509e+02;-9.4988854980e+02;
5.8300781250e-01;-2.3523193359e+02;-9.5141094971e+02;
5.8593750000e-01;-2.4453042603e+02;-9.8484625244e+02;
5.8984375000e-01;-2.4271763611e+02;-9.6914538574e+02;
5.9277343750e-01;-2.3488928223e+02;-9.4079168701e+02;
5.9570312500e-01;-2.3926461792e+02;-9.3553643799e+02;
5.9960937500e-01;-2.3748027039e+02;-9.4160430908e+02;
6.0253906250e-01;-2.3375341797e+02;-9.5993426514e+02;
6.0644531250e-01;-2.3417393494e+02;-9.6666625977e+02;
6.0937500000e-01;-2.4050138855e+02;-9.4314410400e+02;
6.1328125000e-01;-2.4124392700e+02;-9.1916229248e+02;
6.1621093750e-01;-2.2965544128e+02;-9.3678112793e+02;
6.1914062500e-01;-2.3193353271e+02;-9.4300854492e+02;
6.2304687500e-01;-2.3793852234e+02;-9.5505310059e+02;
6.2597656250e-01;-2.2923187256e+02;-9.4421356201e+02;
6.2988281250e-01;-2.3448754883e+02;-9.4737713623e+02;
6.3281250000e-01;-2.3961067200e+02;-9.4044995117e+02;
6.3574218750e-01;-2.3869935608e+02;-9.5009368896e+02;
6.3964843750e-01;-2.3931550598e+02;-9.8873748779e+02;
6.4257812500e-01;-2.4140077209e+02;-9.4254077148e+02;
6.4648437500e-01;-2.4440390015e+02;-9.4855395508e+02;
6.4941406250e-01;-2.4079524231e+02;-9.6092913818e+02;
6.5332031250e-01;-2.3870585632e+02;-9.4559210205e+02;
6.5625000000e-01;-2.4004559326e+02;-9.4450189209e+02;
6.5917968750e-01;-2.4202653503e+02;-9.3355169678e+02;
6.6308593750e-01;-2.4744863892e+02;-9.4654016113e+02;
6.6601562500e-01;-2.3934822083e+02;-9.4234356689e+02;
6.6992187500e-01;-2.4067942810e+02;-9.4576409912e+02;
6.7285156250e-01;-2.3679249573e+02;-9.4218157959e+02;
6.7578125000e-01;-2.3825997925e+02;-9.5478796387e+02;
6.7968750000e-01;-2.3748461914e+02;-9.4254235840e+02;
6.8261718750e-01;-2.4741014099e+02;-9.5761175537e+02;
6.8652343750e-01;-2.2607167053e+02;-9.6730358887e+02;
6.8945312500e-01;-2.3750627136e+02;-9.9416137695e+02;
6.9238281250e-01;-2.3644869995e+02;-9.3608880615e+02;
6.9628906250e-01;-2.4261532593e+02;-9.1933264160e+02;
6.9921875000e-01;-2.4380000305e+02;-9.3981842041e+02;
7.0312500000e-01;-2.4171105957e+02;-9.5100030518e+02;
7.0605468750e-01;-2.3840142822e+02;-9.5009368896e+02;
7.0996093750e-01;-2.4080090332e+02;-9.2414990234e+02;
7.1289062500e-01;-2.4815185547e+02;-9.3359851074e+02;
7.1582031250e-01;-2.3493887329e+02;-9.6290270996e+02;
7.1972656250e-01;-2.3733836365e+02;-9.4873083496e+02;
7.2265625000e-01;-2.3494891357e+02;-9.4181939697e+02;
7.2656250000e-01;-2.3721311951e+02;-9.3232189941e+02;
7.2949218750e-01;-2.3568928528e+02;-9.3382757568e+02;
7.3242187500e-01;-2.3976782227e+02;-9.5843426514e+02;
7.3632812500e-01;-2.3992852783e+02;-9.4592279053e+02;
7.3925781250e-01;-2.3869915771e+02;-9.2867803955e+02;
7.4316406250e-01;-2.3990496826e+02;-9.7332916260e+02;
7.4609375000e-01;-2.3766644287e+02;-9.4213018799e+02;
7.4902343750e-01;-2.3960594177e+02;-9.3533007812e+02;
7.5292968750e-01;-2.3856292725e+02;-9.4514752197e+02;
7.5585937500e-01;-2.4800068665e+02;-9.4825054932e+02;
7.5976562500e-01;-2.4009220886e+02;-9.3404357910e+02;
7.6269531250e-01;-2.4084872437e+02;-9.3811547852e+02;
7.6660156250e-01;-2.4905720520e+02;-9.4296960449e+02;
7.6953125000e-01;-2.4667474365e+02;-9.4934991455e+02;
7.7246093750e-01;-2.4110348511e+02;-9.4436059570e+02;
7.7636718750e-01;-2.3856127930e+02;-9.2584753418e+02;
7.7929687500e-01;-2.4773973083e+02;-9.5615740967e+02;
7.8320312500e-01;-2.3932560730e+02;-9.8332434082e+02;
7.8613281250e-01;-2.3795387268e+02;-9.4422845459e+02;
7.8906250000e-01;-2.3599444580e+02;-9.2990032959e+02;
7.9296875000e-01;-2.4051861572e+02;-9.3021533203e+02;
7.9589843750e-01;-2.3872114563e+02;-9.3354589844e+02;
7.9980468750e-01;-2.3330436707e+02;-9.4500866699e+02;
