Time (s);Fp1;Fp2;Sampling Rate
3.2324218750e-01;3.8562870026e+00;-5.2515441895e+02;
3.2617187500e-01;-2.1597952843e+00;-5.6525354004e+02;
3.2910156250e-01;4.3107399940e+00;-5.6901129150e+02;
3.3300781250e-01;-5.1392021179e+00;-5.6372113037e+02;
3.3593750000e-01;-3.6339724064e+00;-5.3746002197e+02;
3.3984375000e-01;-8.7576780319e+00;-5.3534686279e+02;
3.4277343750e-01;-1.8975759506e+01;-5.6821948242e+02;
3.4570312500e-01;5.8189458847e+00;-5.8227569580e+02;
3.4960937500e-01;6.4344949722e+00;-5.4091204834e+02;
3.5253906250e-01;-7.8362374306e+00;-5.5401611328e+02;
3.5644531250e-01;-1.1808885336e+00;-5.3221502686e+02;
3.5937500000e-01;-1.4918643236e-01;-5.7431591797e+02;
3.6328125000e-01;-5.9732443094e-01;-5.7688116455e+02;
3.6621093750e-01;-5.8417177200e+00;-5.6010589600e+02;
3.6914062500e-01;-3.5871663094e+00;-5.4064971924e+02;
3.7304687500e-01;-1.0408787727e+00;-5.3901672363e+02;
3.7597656250e-01;-7.3336782455e+00;-5.7999584961e+02;
3.7988281250e-01;-1.0957963943e+01;-6.1681488037e+02;
3.8281250000e-01;-1.6527786255e+01;-5.4488696289e+02;
3.8574218750e-01;-5.7242541313e+00;-5.3947888184e+02;
3.8964843750e-01;5.8652334213e+00;-5.3904492188e+02;
3.9257812500e-01;-4.7927370071e+00;-5.5301086426e+02;
3.9648437500e-01;-6.8813285828e+00;-5.7442559814e+02;
3.9941406250e-01;-1.2936193466e+01;-5.5186065674e+02;
4.0332031250e-01;-8.0091972351e+00;-5.6353936768e+02;
4.0625000000e-01;-1.0108333588e+01;-5.5535168457e+02;
4.0917968750e-01;-7.5342869759e+00;-5.5519458008e+02;
4.1308593750e-01;-1.7695966363e-01;-5.6473345947e+02;
4.1601562500e-01;1.1707795858e+00;-5.5039801025e+02;
4.1992187500e-01;4.6036014557e+00;-5.4638415527e+02;
4.2285156250e-01;2.9672493935e+00;-5.5737078857e+02;
4.2578125000e-01;2.5202364922e+00;-5.6533685303e+02;
4.2968750000e-01;-7.2119712830e+00;-5.7810595703e+02;
4.3261718750e-01;-4.9846739769e+00;-5.5174835205e+02;
4.3652343750e-01;1.9373568296e+00;-5.3365496826e+02;
4.3945312500e-01;1.4843778610e+00;-5.4164093018e+02;
4.4238281250e-01;7.8042068481e+00;-5.3682934570e+02;
4.4628906250e-01;7.9435873032e+00;-5.5117486572e+02;
4.4921875000e-01;2.1088232994e+00;-5.7750433350e+02;
4.5312500000e-01;-9.5952062607e+00;-5.4999267578e+02;
4.5605468750e-01;-4.9768109322e+00;-5.5235491943e+02;
4.5996093750e-01;4.0329022408e+00;-5.4330627441e+02;
4.6289062500e-01;-3.7420616150e+00;-5.5951171875e+02;
4.6582031250e-01;-8.8631172180e+00;-5.6585882568e+02;
4.6972656250e-01;2.2592589855e+00;-5.5773907471e+02;
4.7265625000e-01;-1.0330938101e+00;-5.7189184570e+02;
4.7656250000e-01;2.1255185604e+00;-5.2346960449e+02;
4.7949218750e-01;-1.0941058159e+01;-5.4410998535e+02;
4.8242187500e-01;-1.1826752424e+00;-5.1804565430e+02;
4.8632812500e-01;-1.2460778236e+01;-5.7398687744e+02;
4.8925781250e-01;-1.7734056473e+01;-5.6421093750e+02;
4.9316406250e-01;3.5917637348e+00;-5.5852185059e+02;
4.9609375000e-01;-1.4111836433e+01;-5.5453894043e+02;
4.9902343750e-01;-6.4316749573e+00;-5.3114971924e+02;
5.0292968750e-01;3.3081936836e+00;-5.2682843018e+02;
5.0585937500e-01;-6.7505412102e+00;-5.5528607178e+02;
5.0976562500e-01;-1.3690199852e+01;-5.9242254639e+02;
5.1269531250e-01;-1.8938032150e+01;-5.8564227295e+02;
5.1660156250e-01;-2.3429025650e+01;-5.6570501709e+02;
5.1953125000e-01;-1.0605675697e+01;-5.2716516113e+02;
5.2246093750e-01;-1.1369106293e+01;-5.6108990479e+02;
5.2636718750e-01;-5.0723524094e+00;-5.4393554688e+02;
5.2929687500e-01;-3.9001950622e-01;-5.1961151123e+02;
5.3320312500e-01;1.6026439667e+01;-5.2998736572e+02;
5.3613281250e-01;7.5957307816e+00;-5.3061218262e+02;
5.3906250000e-01;5.6326351166e+00;-5.2203045654e+02;
5.4296875000e-01;-1.7770693302e+00;-5.5786041260e+02;
5.4589843750e-01;5.4353518486e+00;-5.7113067627e+02;
5.4980468750e-01;-7.0353698730e+00;-5.7668841553e+02;
5.5273437500e-01;-3.5795283318e+00;-5.4910504150e+02;
5.5664062500e-01;3.4860078245e-02;-5.2467199707e+02;
5.5957031250e-01;-4.2922263145e+00;-5.1389331055e+02;
5.6250000000e-01;-1.8894529343e+00;-5.1751892090e+02;
5.6640625000e-01;6.5564501286e-01;-5.1767852783e+02;
5.6933593750e-01;-1.0908126831e-01;-5.5316198730e+02;
5.7324218750e-01;-6.5768976212e+00;-5.5844549561e+02;
5.7617187500e-01;-5.9711685181e+00;-5.4305041504e+02;
5.7910156250e-01;3.3529515266e+00;-5.5179669189e+02;
5.8300781250e-01;-1.3941853523e+01;-5.8422143555e+02;
5.8593750000e-01;-1.0934025764e+01;-5.7307269287e+02;
5.8984375000e-01;6.5968952179e+00;-5.2113024902e+02;
5.9277343750e-01;-1.1854263023e-02;-5.1873767090e+02;
5.9570312500e-01;-6.2698537111e-01;-5.2055010986e+02;
5.9960937500e-01;1.9651392698e+00;-5.3059863281e+02;
6.0253906250e-01;-8.8055908680e-01;-5.3013079834e+02;
6.0644531250e-01;-3.2773571014e+00;-5.4702819824e+02;
6.0937500000e-01;5.8723201752e+00;-5.6440350342e+02;
6.1328125000e-01;-3.7663075924e+00;-5.4660943604e+02;
6.1621093750e-01;-7.3396902084e+00;-5.4745214844e+02;
6.1914062500e-01;-5.4030179977e+00;-5.7869354248e+02;
6.2304687500e-01;-1.3208125114e+01;-5.7445294189e+02;
6.2597656250e-01;-1.9494590759e+00;-5.4903332520e+02;
6.2988281250e-01;3.7520372868e+00;-5.5266729736e+02;
6.3281250000e-01;-1.3071991920e+01;-5.4356219482e+02;
6.3574218750e-01;-1.4517004013e+01;-5.2808502197e+02;
6.3964843750e-01;-1.3562999725e+01;-5.4769720459e+02;
6.4257812500e-01;1.3533425331e+00;-5.8371923828e+02;
6.4648437500e-01;-1.5944686890e+01;-5.4314831543e+02;
6.4941406250e-01;-1.0726188660e+01;-5.4125354004e+02;
6.5332031250e-01;1.1451741457e+00;-5.3961145020e+02;
6.5625000000e-01;-1.3513355255e+00;-5.3123919678e+02;
6.5917968750e-01;4.7898387909e+00;-5.4017321777e+02;
6.6308593750e-01;4.4676566124e+00;-5.3116180420e+02;
6.6601562500e-01;-1.1974735260e+00;-5.8326464844e+02;
6.6992187500e-01;6.2654304504e+00;-5.3208166504e+02;
6.7285156250e-01;-1.8491961956e+00;-5.4503204346e+02;
6.7578125000e-01;4.6553220749e+00;-5.7861846924e+02;
6.7968750000e-01;8.5487422943e+00;-5.4062445068e+02;
6.8261718750e-01;5.4261155128e+00;-5.1506225586e+02;
6.8652343750e-01;7.6690835953e+00;-5.3334002686e+02;
6.8945312500e-01;4.4915761948e+00;-5.2023852539e+02;
6.9238281250e-01;1.6446653605e+00;-5.2820703125e+02;
6.9628906250e-01;6.6134066582e+00;-5.4196484375e+02;
6.9921875000e-01;-3.3433248997e+00;-5.4289892578e+02;
7.0312500000e-01;-4.6412587166e-01;-5.4814666748e+02;
7.0605468750e-01;-8.2698621750e+00;-5.4240032959e+02;
7.0996093750e-01;-4.4256681204e-01;-5.5625396729e+02;
7.1289062500e-01;-5.3944935799e+00;-5.8324224854e+02;
7.1582031250e-01;-8.4204311371e+00;-5.4705895996e+02;
7.1972656250e-01;-7.0619535446e+00;-5.6501184082e+02;
7.2265625000e-01;-6.6439585686e+00;-5.3476086426e+02;
7.2656250000e-01;-3.0340070724e+00;-5.3143774414e+02;
7.2949218750e-01;-1.3673766136e+01;-5.5925311279e+02;
7.3242187500e-01;-2.4666526794e+01;-5.6516973877e+02;
7.3632812500e-01;-2.0280830383e+01;-5.6167785645e+02;
7.3925781250e-01;-5.5505232811e+00;-5.4690020752e+02;
7.4316406250e-01;2.2637739182e+00;-5.4417877197e+02;
7.4609375000e-01;4.6492686272e+00;-5.2701696777e+02;
7.4902343750e-01;-3.1618273258e+00;-5.4814251709e+02;
7.5292968750e-01;-1.4433178902e+01;-5.7180108643e+02;
7.5585937500e-01;-4.3660154343e+00;-5.4933093262e+02;
7.5976562500e-01;-6.9153251648e+00;-5.5096972656e+02;
7.6269531250e-01;-3.7660043240e+00;-5.6169451904e+02;
7.6660156250e-01;-1.0391885757e+01;-5.8978131104e+02;
7.6953125000e-01;6.4569497108e+00;-5.5690777588e+02;
7.7246093750e-01;1.6409450769e+00;-5.2069635010e+02;
7.7636718750e-01;-1.5076454878e+00;-5.2022601318e+02;
7.7929687500e-01;-5.2485404015e+00;-5.5322998047e+02;
7.8320312500e-01;-3.4661571980e+00;-5.5929705811e+02;
7.8613281250e-01;1.6505396366e+00;-5.2882019043e+02;
7.8906250000e-01;-6.0246343613e+00;-5.4617144775e+02;
7.9296875000e-01;-9.4826898575e+00;-5.9880438232e+02;
7.9589843750e-01;-1.3695504189e+01;-5.8643005371e+02;
7.9980468750e-01;5.5566182137e+00;-5.0774594116e+02;
8.0273437500e-01;9.1203421354e-01;-5.4194409180e+02;
8.0664062500e-01;-5.7552013397e+00;-5.4054278564e+02;
8.0957031250e-01;4.8884944916e+00;-5.4101568604e+02;
8.1250000000e-01;-5.0537925959e-01;-5.4972961426e+02;
8.1640625000e-01;3.9708611965e+00;-5.5945788574e+02;
8.1933593750e-01;5.0672726631e+00;-5.3420147705e+02;
8.2324218750e-01;-7.0934100151e+00;-5.6868719482e+02;
8.2617187500e-01;-4.9590964317e+00;-5.4662347412e+02;
8.2910156250e-01;4.2901319265e-01;-5.2797656250e+02;
8.3300781250e-01;-1.1910741806e+01;-5.2405676270e+02;
8.3593750000e-01;4.3322763443e+00;-5.5389880371e+02;
8.3984375000e-01;-1.8047875166e+00;-5.6005816650e+02;
8.4277343750e-01;4.2228231430e+00;-5.1840777588e+02;
8.4570312500e-01;-2.1217339039e+00;-5.3896246338e+02;
8.4960937500e-01;8.3771295547e+00;-5.3540063477e+02;
8.5253906250e-01;4.0020151138e+00;-5.3858587646e+02;
8.5644531250e-01;3.4337406158e+00;-5.0958572388e+02;
8.5937500000e-01;-3.9806809425e+00;-5.5686273193e+02;
8.6328125000e-01;1.3621655464e+01;-5.3741894531e+02;
8.6621093750e-01;1.0177396774e+01;-5.3118994141e+02;
8.6914062500e-01;1.0213956833e+00;-5.5906414795e+02;
8.7304687500e-01;-1.8289414644e+00;-5.3445672607e+02;
8.7597656250e-01;3.7332525253e+00;-4.9087335205e+02;
8.7988281250e-01;5.6896514893e+00;-5.5829882812e+02;
8.8281250000e-01;-3.1688499451e+00;-5.6445825195e+02;
8.8574218750e-01;6.6061267853e+00;-5.1844506836e+02;
8.8964843750e-01;-9.3520539999e-01;-5.1999237061e+02;
8.9257812500e-01;-7.7671372890e-01;-5.3730462646e+02;
8.9648437500e-01;-3.9420316219e+00;-5.4499475098e+02;
8.9941406250e-01;1.0806963921e+01;-5.4233685303e+02;
9.0332031250e-01;6.4276380539e+00;-5.5697332764e+02;
9.0625000000e-01;-8.6992835999e+00;-5.2081097412e+02;
9.0917968750e-01;-3.3086667061e+00;-5.2565246582e+02;
9.1308593750e-01;-1.0370450020e+01;-5.4601104736e+02;
9.1601562500e-01;3.5822563171e+00;-5.7456903076e+02;
9.1992187500e-01;-6.1670598984e+00;-5.8342175293e+02;
9.2285156250e-01;-5.4090528488e+00;-5.6606634521e+02;
9.2578125000e-01;-2.9467099905e-01;-5.2624993896e+02;
9.2968750000e-01;-9.1449146271e+00;-5.2454235840e+02;
9.3261718750e-01;-5.2461247444e+00;-5.2456225586e+02;
9.3652343750e-01;-1.3529352188e+01;-5.5728948975e+02;
9.3945312500e-01;-8.6993713379e+00;-5.5606542969e+02;
9.4238281250e-01;-7.4977550507e+00;-5.4672662354e+02;
9.4628906250e-01;-9.9163141251e+00;-5.3409783936e+02;
9.4921875000e-01;-1.4579916954e+01;-5.6017132568e+02;
9.5312500000e-01;-8.7233781815e-01;-5.4794970703e+02;
9.5605468750e-01;-1.4273148537e+01;-6.1837860107e+02;
9.5996093750e-01;-1.8324710846e+01;-5.8233728027e+02;
9.6289062500e-01;-1.1607151985e+01;-5.5148480225e+02;
9.6582031250e-01;-1.4964572191e+00;-5.3199041748e+02;
9.6972656250e-01;-7.7919068336e+00;-5.2861254883e+02;
9.7265625000e-01;-5.5539498329e+00;-5.1975402832e+02;
9.7656250000e-01;-8.5582494736e+00;-5.4266552734e+02;
9.7949218750e-01;-1.1082821846e+01;-5.3583148193e+02;
9.8242187500e-01;-1.4238343239e+01;-5.5285369873e+02;
9.8632812500e-01;-1.8326002121e+01;-5.5486877441e+02;
9.8925781250e-01;-8.3954229355e+00;-5.5213977051e+02;
9.9316406250e-01;2.8967804909e+00;-5.6644628906e+02;
9.9609375000e-01;-7.3147602081e+00;-5.6971887207e+02;
9.9902343750e-01;-2.3402658463e+01;-5.7621142578e+02;
1.0029296875e+00;-1.7550918579e+01;-5.3356372070e+02;
1.0058593750e+00;-1.1548845291e+01;-5.3660839844e+02;
1.0097656250e+00;-1.5438388824e+01;-5.5980743408e+02;
1.0126953125e+00;-2.5193960667e+00;-5.3421252441e+02;
1.0166015625e+00;-5.9745626450e+00;-5.4036120605e+02;
1.0195312500e+00;-6.4408884048e+00;-5.3480102539e+02;
1.0224609375e+00;-7.8089280128e+00;-5.4434240723e+02;
1.0263671875e+00;-1.0674982071e+01;-5.7194488525e+02;
1.0292968750e+00;-2.0271942139e+01;-5.6376293945e+02;
1.0332031250e+00;-3.9200363159e+00;-5.4407891846e+02;
1.0361328125e+00;-1.5311345100e+01;-5.3316467285e+02;
1.0390625000e+00;-1.3247729301e+01;-5.3836572266e+02;
1.0429687500e+00;-6.3071937561e+00;-5.5581262207e+02;
1.0458984375e+00;-1.3228136063e+01;-5.4828210449e+02;
1.0498046875e+00;-5.2747292519e+00;-5.3187316895e+02;
1.0527343750e+00;-1.2161068916e+01;-5.6771258545e+02;
1.0566406250e+00;-1.2161450386e+01;-5.5865222168e+02;
1.0595703125e+00;-8.4042873383e+00;-5.5034893799e+02;
1.0625000000e+00;2.4079723358e+00;-5.0906982422e+02;
1.0664062500e+00;-8.4310035706e+00;-5.4166485596e+02;
1.0693359375e+00;-1.0948048592e+01;-5.6919677734e+02;
1.0732421875e+00;-3.7724757195e+00;-5.3335498047e+02;
1.0761718750e+00;-1.8951572418e+01;-5.3140203857e+02;
1.0791015625e+00;-1.8497064590e+01;-5.5446063232e+02;
1.0830078125e+00;-6.0073008537e+00;-5.6486303711e+02;
1.0859375000e+00;-1.6548225403e+01;-5.4918713379e+02;
1.0898437500e+00;3.7364766598e+00;-5.4878643799e+02;
1.0927734375e+00;-8.2663898468e+00;-5.5595727539e+02;
1.0957031250e+00;-1.3506144524e+01;-5.4130096436e+02;
1.0996093750e+00;-8.1057443619e+00;-5.5400433350e+02;
1.1025390625e+00;-1.1257535934e+01;-5.4267126465e+02;
1.1064453125e+00;-2.1961421967e+01;-5.5098052979e+02;
1.1093750000e+00;3.9018530846e+00;-5.2750537109e+02;
1.1132812500e+00;-3.6130654812e+00;-5.3713098145e+02;
1.1162109375e+00;-1.0668782234e+01;-5.4419781494e+02;
1.1191406250e+00;-1.0381054878e+01;-5.6713916016e+02;
1.1230468750e+00;-7.2349267006e+00;-5.7849456787e+02;
1.1259765625e+00;-5.2605738640e+00;-5.8856219482e+02;
1.1298828125e+00;-3.9244408607e+00;-5.1543933105e+02;
1.1328125000e+00;-9.3193016052e+00;-5.1629455566e+02;
1.1357421875e+00;-1.6103752136e+01;-5.3128393555e+02;
1.1396484375e+00;-5.1396293640e+00;-5.4924597168e+02;
1.1425781250e+00;-1.6872915268e+01;-5.4956750488e+02;
1.1464843750e+00;-1.0097949028e+01;-5.5363439941e+02;
1.1494140625e+00;-2.1505332947e+01;-5.4755242920e+02;
1.1533203125e+00;-7.5176744461e+00;-5.3259210205e+02;
1.1562500000e+00;6.8254742622e+00;-5.1516284180e+02;
1.1591796875e+00;5.2794647217e+00;-5.3152502441e+02;
1.1630859375e+00;5.1313896179e+00;-5.3919775391e+02;
1.1660156250e+00;-6.1338167191e+00;-5.7280004883e+02;
1.1699218750e+00;-7.3638355732e-01;-5.4208703613e+02;
1.1728515625e+00;-7.6701769829e+00;-5.3455822754e+02;
1.1757812500e+00;-1.2071690559e+00;-5.2355743408e+02;
1.1796875000e+00;-5.2174649239e+00;-5.3084136963e+02;
1.1826171875e+00;-9.0127124786e+00;-5.4432751465e+02;
1.1865234375e+00;-7.6428537369e+00;-5.3962744141e+02;
1.1894531250e+00;-6.2986326218e+00;-5.3165893555e+02;
1.1923828125e+00;1.5243130922e+00;-5.7782244873e+02;
1.1962890625e+00;-1.5735967636e+01;-5.4803051758e+02;
1.1992187500e+00;-1.0785064697e+01;-5.2408856201e+02;
1.2031250000e+00;2.8253059387e+00;-5.3581048584e+02;
1.2060546875e+00;-5.8479228020e+00;-5.3633911133e+02;
1.2099609375e+00;-1.7848910093e+00;-5.4192333984e+02;
1.2128906250e+00;-7.8284983635e+00;-5.6247222900e+02;
1.2158203125e+00;-5.2610101700e+00;-5.5022589111e+02;
1.2197265625e+00;3.1017202139e-01;-5.3738537598e+02;
1.2226562500e+00;-5.2639541626e+00;-5.3757061768e+02;
1.2265625000e+00;-1.9493581057e+00;-5.2037719727e+02;
1.2294921875e+00;-3.1692080498e+00;-5.6715490723e+02;
1.2324218750e+00;-1.1424170494e+01;-5.6244903564e+02;
1.2363281250e+00;-2.0002777100e+01;-5.3546234131e+02;
1.2392578125e+00;2.8588385582e+00;-5.3548547363e+02;
1.2431640625e+00;-4.3531875610e+00;-5.3184082031e+02;
1.2460937500e+00;-8.4166460037e+00;-5.4556640625e+02;
1.2490234375e+00;-5.8565616608e+00;-5.6319940186e+02;
1.2529296875e+00;-3.1339991093e+00;-5.2757543945e+02;
1.2558593750e+00;-1.6117848158e+00;-5.1338195801e+02;
1.2597656250e+00;-4.1722507477e+00;-5.3072985840e+02;
1.2626953125e+00;-4.7741355896e+00;-5.4518273926e+02;
1.2666015625e+00;-1.4850186348e+01;-5.3841912842e+02;
1.2695312500e+00;-1.1243077278e+01;-5.5501989746e+02;
1.2724609375e+00;9.0755158663e-01;-5.4617633057e+02;
1.2763671875e+00;-1.2476453781e+01;-5.3303997803e+02;
1.2792968750e+00;-2.8410825729e+00;-5.0255072021e+02;
1.2832031250e+00;2.4369583130e+00;-5.3826953125e+02;
